id,ab_resistance,shield_glycans,region,env_length
209,-0.0666004331606372,7,Europe.Americas,856
210,1.88106644310649,6,Europe.Americas,845
211,1.93959936150507,7,Europe.Americas,845
212,-0.612140130021154,5,Asia,859
213,-0.16838982751962,7,Europe.Americas,862
214,0.132573490560788,6,Europe.Americas,869
215,-0.235488620310963,6,Europe.Americas,854
216,-0.953071466302794,7,Europe.Americas,855
217,-0.298490631520854,5,Europe.Americas,862
218,-0.758755416004327,6,Europe.Americas,850
219,-0.918545559111266,5,Europe.Americas,867
220,-0.068111349878393,7,Europe.Americas,854
221,0.0912690017038238,6,Europe.Americas,862
222,1.52778749840657,6,Europe.Americas,857
223,-0.123322480490526,7,Europe.Americas,848
224,-1.90901730049194,5,Europe.Americas,855
225,-0.760711960514538,5,Europe.Americas,863
226,-1.12614989669021,7,Europe.Americas,855
227,0.138303286995504,6,Europe.Americas,847
228,-0.0494460845345449,6,Europe.Americas,867
229,-0.546068581904222,4,Europe.Americas,879
230,0.220589183530479,5,Europe.Americas,861
231,-0.648280421604858,7,Europe.Americas,847
232,1.85166133591185,6,Europe.Americas,861
233,-0.147654689732999,4,Europe.Americas,854
234,0.19778277811079,6,Europe.Americas,864
235,0.209565833650101,5,Europe.Americas,861
236,-0.427554075113082,5,Europe.Americas,855
237,-0.185390124907945,6,Europe.Americas,850
238,-0.320010042008303,6,Europe.Americas,857
239,0.175801204137318,7,Europe.Americas,858
240,-1.10925188360798,5,Europe.Americas,853
241,-1.35624818780261,4,Europe.Americas,853
242,-0.39517834377735,6,Europe.Americas,870
243,1.92541391131281,5,Europe.Americas,862
244,0.176314093726555,6,Europe.Americas,861
245,0.0898138292138901,6,Europe.Americas,853
246,-0.59705349057282,5,Europe.Americas,848
247,-1.55681046032977,6,Europe.Americas,847
248,-1.45902635306542,5,Europe.Americas,858
249,-0.976244990760083,6,Europe.Americas,856
250,-0.666184112929099,5,Europe.Americas,867
251,-1.24301896827006,5,Europe.Americas,856
252,-1.28417110089179,4,Europe.Americas,855
253,-0.863066470068935,6,Europe.Americas,848
254,-1.6116059989535,6,Europe.Americas,860
255,-0.588917911896198,5,Europe.Americas,850
256,0.541465826430711,4,Europe.Americas,875
257,-1.14322216427083,6,Europe.Americas,858
258,-0.992676285069042,5,Europe.Americas,860
259,-0.865920916209826,5,Europe.Americas,850
260,-1.01628217106217,5,Europe.Americas,844
261,-0.0913590420035507,6,Europe.Americas,857
262,-1.19758369203589,4,Europe.Americas,857
263,-0.841555975802429,4,Europe.Americas,856
264,0.335122862422911,3,S.Africa,852
265,0.0104843473247739,7,S.Africa,855
266,-0.784582068042657,4,S.Africa,863
267,-0.52424481839132,5,S.Africa,878
268,-0.601582934522826,7,S.Africa,859
269,1.36259849725259,6,S.Africa,850
270,0.163347337951952,5,Asia,880
271,1.08468103824619,5,Asia,882
272,-1.36000341345315,6,Asia,860
273,-0.0956724519969192,6,Asia,880
274,0.0284482277292582,6,Asia,865
275,-0.784539386960864,6,Asia,877
276,0.0208612748744913,6,Asia,855
277,1.65133970710832,6,Asia,880
278,1.67976117193856,4,Asia,885
279,1.6702047640356,6,Asia,881
280,1.14538240273943,4,Asia,856
281,1.76644557781301,6,Asia,853
282,1.32042056087477,5,Asia,873
283,1.67810016473118,5,Asia,852
284,1.71305817492051,6,Asia,863
285,1.01100716538889,6,Asia,853
286,1.6347306741231,6,Asia,863
287,1.64339928804906,4,Asia,857
288,1.6932668567308,6,Asia,860
289,1.68684701312099,5,Asia,863
290,1.73824228199046,4,Asia,875
291,1.692500490402,7,Asia,877
292,-1.09340466055007,6,N.Africa,848
293,-1.21156170992152,5,N.Africa,839
294,2,5,N.Africa,868
295,-1.35789779988801,4,N.Africa,859
296,-1.36184524326973,6,N.Africa,866
297,-1.04696693012163,4,N.Africa,831
298,-0.854537356969948,4,N.Africa,839
299,-1.29052942177963,5,N.Africa,866
300,-0.811053833820076,4,N.Africa,837
301,-0.0119458818084241,5,N.Africa,855
302,-0.834675092705965,6,Asia,868
303,-1.68504910199774,5,Asia,866
304,-0.790133124281581,4,Asia,856
305,-1.08098607091403,5,Asia,859
306,0.605407649551925,6,Asia,874
307,-0.962951180538798,5,Asia,852
308,-0.25403587065518,6,Asia,856
309,-0.118137213634828,6,Asia,856
310,-0.309124453173273,5,Asia,857
311,-0.6911407520921,5,Asia,847
312,-0.86373336010514,6,Asia,843
313,-0.202214936621408,4,Asia,861
314,-0.266394845827011,5,N.Africa,853
315,-0.845455429533621,5,N.Africa,853
316,1.21360934561431,7,S.Africa,862
317,0.752356537458421,7,S.Africa,856
318,0.295442734638458,6,S.Africa,861
319,-0.480757081404116,6,S.Africa,859
320,1.19802058900484,7,S.Africa,859
321,-0.389635638936099,6,S.Africa,859
322,-1.18378732460865,6,S.Africa,859
323,-0.273647515773946,3,S.Africa,860
324,-0.335491846348138,4,S.Africa,845
325,1.66323075688091,4,S.Africa,845
326,0.384639916995632,3,S.Africa,845
327,1.61949269632289,4,S.Africa,849
328,1.75965018803239,4,S.Africa,852
329,1.59616475376235,5,S.Africa,868
330,1.68963210748817,4,S.Africa,874
331,1.71902907102686,4,S.Africa,852
332,-0.214589433029247,5,S.Africa,862
333,0.13392330120703,4,S.Africa,873
334,0.453125301713374,5,S.Africa,874
335,0.640127458349644,4,S.Africa,874
336,0.702559344111504,5,S.Africa,855
337,0.375012742431584,4,S.Africa,869
338,-1.28048023606532,5,S.Africa,857
339,-1.23461989221978,4,S.Africa,857
340,-1.24736132015939,4,S.Africa,857
341,-0.952594706278558,3,S.Africa,857
342,0.0970148311897034,5,S.Africa,862
343,1.77933451163211,5,S.Africa,861
344,1.66393177013236,5,S.Africa,844
345,0.311084298492526,5,S.Africa,866
346,-0.529828646460851,4,S.Africa,845
347,-1.01766334478153,4,S.Africa,854
348,-0.107404714965859,5,S.Africa,848
349,1.273499373684,5,S.Africa,844
350,0.162716378157937,6,S.Africa,853
351,-0.530867660236288,3,S.Africa,857
352,-0.0468443651769577,6,S.Africa,852
353,-1.29438964382308,4,S.Africa,853
354,-1.1038235130268,3,S.Africa,849
355,0.246643312059547,6,S.Africa,860
356,-2,7,S.Africa,855
357,-1.14121798001912,4,S.Africa,843
358,-0.905467821177857,5,S.Africa,857
359,1.76765813838631,5,S.Africa,854
360,-0.581527209499765,4,S.Africa,863
361,0.0131345023519667,3,S.Africa,860
362,-0.337417634867775,5,S.Africa,865
363,-0.403351560207728,5,S.Africa,858
364,-0.746564986899159,5,S.Africa,850
365,1.33759639741432,5,S.Africa,865
366,-0.36111261821269,5,S.Africa,850
367,1.62318332515692,5,S.Africa,857
368,0.389462208498236,6,S.Africa,848
369,-0.252534528826014,5,S.Africa,865
370,-0.776214373599942,7,S.Africa,866
371,-0.378446453242609,5,S.Africa,863
372,1.30647656363039,5,S.Africa,864
373,1.32569503940193,7,S.Africa,862
374,-1.71844180080252,6,S.Africa,847
375,-1.46350649811157,4,S.Africa,852
376,-1.21858427045966,6,S.Africa,841
377,-0.422911152224929,5,N.Africa,863
378,0.0826127859279541,4,N.Africa,880
379,-0.514820334946023,5,N.Africa,847
380,-0.0667278776017178,5,N.Africa,852
381,0.18338958017825,5,N.Africa,870
382,1.37123210085334,5,N.Africa,862
383,-0.39952514318724,5,N.Africa,856
384,-0.755717497438937,7,N.Africa,862
385,-0.621961467933303,7,N.Africa,862
386,-0.79244056093131,5,N.Africa,849
387,-0.517868854834477,5,N.Africa,860
388,-0.124179337849694,6,N.Africa,858
389,0.508964539369543,5,N.Africa,852
390,-1.23598746133779,5,N.Africa,848
391,0.327436815518279,4,N.Africa,855
392,-0.00678067766235926,7,N.Africa,850
393,-0.807395970362549,7,N.Africa,844
394,0.498292729516155,3,N.Africa,869
395,-0.431118761668819,6,N.Africa,851
396,0.267698483657846,6,N.Africa,862
397,-0.78928692423157,6,N.Africa,857
398,-0.0216913618760263,5,N.Africa,839
399,1.92364921545361,5,N.Africa,848
400,1.91880386350246,3,N.Africa,873
401,1.83780015501559,5,N.Africa,867
402,-0.719086848357622,6,N.Africa,869
403,-0.483202213032896,4,N.Africa,857
404,-0.448656085359147,3,N.Africa,842
405,-0.962977580552713,5,N.Africa,857
406,1.27626313962456,5,N.Africa,861
407,-0.0461926688317715,5,N.Africa,851
408,2,5,N.Africa,863
409,-1.02547839529767,6,N.Africa,859
410,0.294041379219632,6,S.Africa,857
411,-1.12319712572341,5,S.Africa,856
412,-0.912236183116194,5,S.Africa,856
413,0.501301873166533,5,S.Africa,868
414,-1.61870224872496,2,S.Africa,854
415,-0.489522847186724,5,S.Africa,860
416,-0.462624378077991,4,S.Africa,849
417,-0.163168157271941,5,S.Africa,846
418,0.242419410053106,4,S.Africa,851
419,1.45181974360909,5,S.Africa,853
420,1.33373688308697,4,S.Africa,859
421,-0.841460346777576,7,S.Africa,860
422,-0.233534200003492,6,S.Africa,869
423,-0.423307076328725,5,S.Africa,841
424,0.0364956870040581,4,S.Africa,873
425,-0.465669200801854,5,S.Africa,883
426,1.29859395902503,3,S.Africa,844
427,1.37901468416273,6,S.Africa,869
428,0.316562506142744,3,S.Africa,868
429,-0.432764301511731,4,S.Africa,861
430,1.27463052267521,5,S.Africa,849
431,1.25103885256348,4,S.Africa,888
432,0.0252327323971795,6,S.Africa,861
433,1.23859140698165,5,S.Africa,857
434,1.32871588322376,5,S.Africa,855
435,0.70075730201613,4,S.Africa,848
436,-0.470317929122336,5,S.Africa,864
437,1.28563836494645,4,S.Africa,876
438,0.526271800373067,3,S.Africa,847
439,-0.869165246363734,6,S.Africa,855
440,0.911518921993087,5,S.Africa,854
441,-0.281124311011392,6,S.Africa,834
442,0.407973478848502,4,S.Africa,845
443,0.226329542443874,6,S.Africa,850
444,-0.397909646949479,5,S.Africa,859
445,-0.163431515302495,7,S.Africa,849
446,0.0438430398060013,6,S.Africa,849
447,0.117329253554814,4,S.Africa,858
448,-0.255394491560816,5,S.Africa,843
449,-0.235716107430346,3,S.Africa,862
450,-0.779562943754412,6,S.Africa,865
451,-0.0406732259653283,5,S.Africa,863
452,0.383823612644107,6,S.Africa,864
453,-0.0125785460353824,4,S.Africa,873
454,1.23108529634083,7,S.Africa,861
455,1.3647262687149,4,S.Africa,844
456,1.28342647913584,5,S.Africa,852
457,-0.862956846179623,5,S.Africa,852
458,-0.676664663724595,4,S.Africa,858
459,1.22130094826928,4,S.Africa,843
460,-0.266608834353185,5,S.Africa,850
461,1.35753284061617,4,S.Africa,864
462,0.134749085319768,5,S.Africa,852
463,-0.85484063772513,4,S.Africa,842
464,-0.759917280722696,7,S.Africa,857
465,0.16474649753003,5,S.Africa,867
466,-0.789309785916777,4,S.Africa,849
467,1.29548852937075,4,S.Africa,854
468,-1.37279777974322,3,S.Africa,850
469,-0.881818105516926,5,S.Africa,838
470,-0.809221469678952,5,S.Africa,849
471,-0.335655007898447,4,S.Africa,858
472,1.3066794342505,3,S.Africa,852
473,2,6,S.Africa,866
474,1.30823387006006,5,S.Africa,866
475,-1.27564609661572,6,S.Africa,848
476,-0.485798062039331,6,S.Africa,859
477,0.0438692328238758,5,S.Africa,859
478,0.0529988906351728,4,S.Africa,861
479,1.24819488285919,4,S.Africa,855
480,-0.216222214831178,6,S.Africa,873
481,-0.153389637878819,5,S.Africa,853
482,-0.392671478101431,4,S.Africa,837
483,-1.17911501379114,4,S.Africa,845
484,1.24540629666098,4,S.Africa,848
485,-1.0232686774404,5,S.Africa,856
486,0.286567276818763,4,S.Africa,863
487,-0.208910930952129,6,S.Africa,868
488,-0.318305683744821,5,S.Africa,861
489,0.537891840496083,4,S.Africa,843
490,-1.30735298787149,5,S.Africa,835
491,-0.430676436050968,5,S.Africa,863
492,-0.489785492398246,4,S.Africa,855
493,1.39098389023419,6,S.Africa,864
494,-0.186714270073064,4,S.Africa,846
495,1.29274912477126,5,S.Africa,847
496,1.21871163041844,7,S.Africa,848
497,0.218086221678374,5,S.Africa,850
498,-0.337511755195343,5,S.Africa,857
499,-0.234636702970211,5,S.Africa,863
500,-0.338143468471365,8,S.Africa,847
501,-0.645682692339391,6,S.Africa,848
502,-1.41002312763105,6,S.Africa,850
503,-0.457535673785579,4,S.Africa,837
504,0.665253109075255,6,S.Africa,856
505,-0.615230112084722,3,S.Africa,867
506,0.282930286506376,5,S.Africa,844
507,0.541622826170549,4,S.Africa,841
508,1.30151386688232,3,S.Africa,860
509,1.27380017289368,4,S.Africa,850
510,1.32418580142329,4,S.Africa,845
511,0.787337088326621,4,S.Africa,845
512,1.39172082810872,5,S.Africa,865
513,-1.19475422281592,4,S.Africa,854
514,1.28441747625775,4,S.Africa,859
515,-0.991917338604887,6,S.Africa,841
516,-0.914770362384057,6,S.Africa,853
517,0.191529013116727,4,S.Africa,866
518,1.39516805624076,4,S.Africa,848
519,-0.389343683797534,6,S.Africa,854
520,-1.25040164654954,5,S.Africa,854
521,0.417618829507487,4,S.Africa,850
522,-0.330948351028095,5,S.Africa,853
523,-0.567313951011331,5,S.Africa,860
524,1.13334984149849,5,S.Africa,855
525,0.676916219063403,4,S.Africa,843
526,-1.04361281463922,4,S.Africa,858
527,2,4,S.Africa,861
528,1.90141857991215,5,S.Africa,859
529,-0.385047144539752,7,S.Africa,857
530,-0.147342193247447,4,S.Africa,883
531,-0.068589465434487,6,S.Africa,846
532,-0.00900186808596576,4,S.Africa,873
533,-1.26573366626168,6,S.Africa,851
534,-0.665679803008913,4,S.Africa,845
535,-0.337391584350107,4,S.Africa,867
536,-0.423177097792049,6,S.Africa,875
537,0.292902622117957,5,S.Africa,847
538,-1.18810685579611,4,S.Africa,847
539,0.25333946736282,6,S.Africa,850
540,0.582257097163041,6,S.Africa,845
541,-0.309216139831308,4,S.Africa,860
542,-0.341025763948376,5,S.Africa,878
543,0.397699204997909,6,S.Africa,857
544,2,5,S.Africa,868
545,1.94807637413487,6,S.Africa,871
546,-0.614850624035043,5,S.Africa,847
547,0.926357279416684,3,S.Africa,854
548,-0.166748058517801,4,S.Africa,869
549,-0.540321757718344,6,S.Africa,858
550,-0.912915071929063,4,S.Africa,842
551,-0.163120345377935,5,S.Africa,848
552,-1.29572610295934,6,S.Africa,859
553,-0.283225835727575,4,S.Africa,878
554,-0.125130535819015,5,S.Africa,856
555,-0.917011780981926,4,S.Africa,834
556,0.431127245927376,4,S.Africa,836
557,1.09736771036685,5,S.Africa,844
558,-0.567306030419196,4,S.Africa,865
559,-1.11550488027614,4,S.Africa,854
560,0.00133262268228841,7,S.Africa,843
561,-0.63327816080772,5,S.Africa,846
562,0.598240070299441,5,N.Africa,854
563,-0.186134652178935,5,N.Africa,867
564,-0.141368276809094,4,N.Africa,843
565,-0.446377350416217,6,N.Africa,852
566,-0.221616385675194,5,N.Africa,850
567,-0.174891639024239,5,N.Africa,852
568,0.543817914467246,4,Europe.Americas,868
569,-0.768302420718482,5,N.Africa,847
570,0.395527052798086,5,N.Africa,856
571,0.781294966542984,4,N.Africa,842
572,0.188857463735423,5,N.Africa,840
573,-0.485910223132726,3,N.Africa,859
574,1.99756908063314,5,N.Africa,870
575,0.0162940884653917,4,N.Africa,858
576,-0.208605082907597,3,N.Africa,847
577,0.0233331106501204,5,N.Africa,850
578,1.55782214803662,3,N.Africa,851
579,2,4,N.Africa,859
580,0.10319928493718,4,N.Africa,844
581,-0.611363439124305,3,N.Africa,849
582,-0.449119568728815,5,N.Africa,843
583,0.726415974835802,5,N.Africa,846
584,0.512809135544652,3,N.Africa,842
585,-0.854176771726757,6,N.Africa,853
586,-0.422304943587725,4,N.Africa,841
587,-0.761411697132549,4,N.Africa,851
588,-0.688725648257651,4,Europe.Americas,858
589,-0.462775795457686,5,Europe.Americas,845
590,-0.897035527873073,6,Europe.Americas,862
591,-1.23210153866154,5,Europe.Americas,850
592,-0.928787103613132,4,Europe.Americas,859
593,-0.919147256366312,6,Europe.Americas,866
594,2,6,Europe.Americas,858
595,-0.247366202679854,6,Europe.Americas,861
596,-0.0830152276536233,8,Europe.Americas,883
597,1.23387698146749,2,N.Africa,853
598,1.21080364548766,1,Europe.Americas,845
599,1.31887296278326,6,N.Africa,869
600,1.37331899816794,6,N.Africa,876
601,1.32541617544367,5,N.Africa,873
602,1.31137083088458,4,N.Africa,865
603,1.28511330008095,2,N.Africa,896
604,1.26912329970243,5,N.Africa,879
605,1.31566964624878,6,N.Africa,864
606,1.3042599858901,5,Europe.Americas,875
607,1.23195775740571,6,Europe.Americas,862
608,1.28889962531031,5,Europe.Americas,872
609,1.25581410575443,6,Europe.Americas,878
610,1.28684068225118,3,Europe.Americas,897
611,1.25694316225098,6,Europe.Americas,880
